Input,Output
1971.06,369.1357763
1972.06,376.3982848
1973.06,415.5907875
1974.06,375.0209125
1975.06,400.8153392
1976.06,474.4421494
1977.06,554.9558211
1978.06,483.8333241
1979.06,527.1579437
1980.06,464.8005433
1981.06,496.8557532
1982.06,500.8626544
1983.06,567.3521718
1984.06,401.0657705
1985.06,478.9499133
1986.06,412.9612585
1987.06,603.5394985
1988.06,600.2838913
1989.06,678.543681
1990.06,499.3306407
1991.06,607.2389953
1992.06,641.5117746
1993.06,637.1004268
1994.06,673.0698783
1995.06,663.3988465
1996.06,718.7103616
1997.06,719.3890305
1998.06,767.5302625
1999.06,620.716152
2000.06,665.1854398
2001.06,690.2062253
2002.06,699.3136669
2003.06,758.8137091
2004.06,900.0235871
2005.06,875.2768267
2006.06,836.4559479
2007.06,796.7286028
2008.06,805.0432684
2009.06,844.0143446
2010.06,879.0329311
2011.06,851.7067588
2012.06,839.5621288
2013.06,885.4263172
2014.06,913.4377653
2015.06,971.3557905
2016.06,997.3948192
2017.06,917.1888357
2018.06,960.7872898
2019.06,1064.632054
1982.06,666.659675
1983.06,861.6576299
1984.06,863.1576142
1985.06,845.157803
1986.06,767.8252807
1987.06,894.323954
1988.06,788.3250657
1989.06,770.1585895
1990.06,701.4626433
1991.06,673.1654401
1992.06,823.1213674
1993.06,735.534786
1994.06,671.4329583
1995.06,746.3146729
1996.06,796.556646
1997.06,786.931747
1998.06,827.1637102
1999.06,781.8886428
2000.06,857.854475
2001.06,915.0272391
2002.06,880.3383661
2003.06,905.9973022
2004.06,927.9095778
2005.06,885.2376836
2006.06,922.3560581
2007.06,1028.327602
2008.06,1005.202882
2009.06,962.5214245
2010.06,998.3436872
2011.06,852.1076586
2012.06,780.0914026
2013.06,949.4263134
2014.06,938.2341154
2015.06,919.1352996
2016.06,986.3971851
2017.06,910.9137072
2018.06,936.7703528
2019.06,939.0381479
1971.06,689.8850332
1972.06,724.11597
1973.06,726.937201
1974.06,573.6503139
1975.06,629.3226066
1976.06,683.3021608
1977.06,663.1773793
1978.06,643.4287619
1979.06,759.099235
1980.06,684.054489
1981.06,829.4419292
1982.06,752.3282805
1983.06,893.201751
1984.06,926.1161133
1985.06,905.9913318
1986.06,835.0843913
1987.06,951.1310286
1988.06,838.8460328
1989.06,825.6802878
1990.06,734.1576717
1991.06,730.0273894
1992.06,869.4244157
1993.06,776.0800366
1994.06,712.6802039
1995.06,784.5471153
1996.06,857.240083
1997.06,842.1645528
1998.06,871.374105
1999.06,814.2688385
2000.06,888.2110899
2001.06,944.4781291
2002.06,910.6131229
2003.06,929.7695957
2004.06,956.2179094
2005.06,917.0011528
2006.06,948.2967162
2007.06,1059.098428
2008.06,1064.281944
2009.06,1016.040895
2010.06,1020.218437
2011.06,905.2790999
2012.06,807.0335241
2013.06,1002.076023
2014.06,1006.068349
2015.06,963.1096947
2016.06,1039.640359
2017.06,956.6852884
2018.06,992.2102095
2019.06,978.71876
1982.06,354.8705752
1983.06,381.3084331
1984.06,340.8531875
1985.06,367.7346336
1986.06,305.7210006
1987.06,383.4376565
1988.06,398.2535031
1989.06,388.317127
1990.06,341.6410002
1991.06,457.6242375
1992.06,606.0245469
1993.06,650.0884714
1994.06,751.4160862
1995.06,797.2270385
1996.06,777.5244468
1997.06,698.9081939
1998.06,799.1066552
1999.06,845.7982865
2000.06,879.3702098
2001.06,985.6009649
2002.06,935.656633
2003.06,881.9964412
2004.06,1176.554685
2005.06,1349.048984
2006.06,1359.079644
2007.06,1387.819712
2008.06,1348.853643
2009.06,1242.781403
2010.06,1276.500591
2011.06,1274.760535
2012.06,1341.866883
2013.06,1348.812485
2014.06,1468.297276
2015.06,1468.282216
2016.06,1451.760278
2017.06,1391.592093
2018.06,1413.070497
2019.06,1435.217902
1954.06,271.4450903
1955.06,266.6933163
1956.06,311.8351694
1957.06,322.526661
1958.06,299.3617627
1959.06,313.6170847
1960.06,374.6476821
1961.06,350.5918262
1962.06,342.5732076
1963.06,386.0816383
1964.06,388.6060183
1965.06,377.0235691
1966.06,356.0860649
1967.06,373.0142598
1968.06,428.8476044
1969.06,462.2585155
1970.06,496.85737
1971.06,500.7181863
1972.06,516.7554236
1973.06,544.3751101
1974.06,456.7642767
1975.06,493.2935395
1976.06,554.3241369
1977.06,589.3684702
1978.06,543.3356595
1979.06,607.9300875
1980.06,540.8112796
1981.06,623.5218459
1982.06,594.1202442
1983.06,687.5223021
1984.06,607.4846086
1985.06,646.8352372
1986.06,576.3010917
1987.06,733.7036058
1988.06,690.9376397
1989.06,728.9518318
1990.06,587.4154911
1991.06,655.1942016
1992.06,741.1929956
1993.06,705.8460337
1994.06,706.2104353
1995.06,735.7269706
1996.06,789.1118151
1997.06,773.4425433
1998.06,816.3861133
1999.06,728.2222884
2000.06,784.9178243
2001.06,831.0878418
2002.06,813.9020947
2003.06,845.3789978
2004.06,942.4273366
2005.06,927.0158035
2006.06,927.9838395
2007.06,964.5829545
2008.06,967.8905658
2009.06,950.7385851
2010.06,973.0617121
2011.06,901.2970875
2012.06,849.6068182
2013.06,967.8723187
2014.06,990.357657
2015.06,999.0475914
2016.06,1043.428776
2017.06,966.9493941
2018.06,1003.206404
2019.06,1040.733461
1982.06,498.4690629
1983.06,514.9185419
1984.06,574.6102122
1985.06,492.8612859
1986.06,527.131034
1987.06,582.7103345
1988.06,501.7091118
1989.06,727.8894491
1990.06,539.819564
1991.06,510.8909119
1992.06,644.2538173
1993.06,631.699874
1994.06,796.5386084
1995.06,886.5995063
1996.06,896.9701552
1997.06,782.8930178
1998.06,768.5772126
1999.06,755.7320175
2000.06,655.707488
2001.06,627.0946584
2002.06,789.7585754
2003.06,780.0426942
2004.06,984.1718594
2005.06,947.9048367
2006.06,951.8216016
2007.06,974.30751
2008.06,955.1028365
2009.06,922.5355025
2010.06,951.8479434
2011.06,968.587535
2012.06,932.0391855
2013.06,926.3174574
2014.06,882.5335548
2015.06,874.1117282
2016.06,973.1449848
2017.06,990.0215335
2018.06,928.2328975
2019.06,995.2481637
1988.06,713.4619166
1989.06,873.0990204
1990.06,804.7251111
1991.06,941.8296607
1992.06,1100.111187
1993.06,985.9301687
1994.06,1068.236562
1995.06,960.8234439
1996.06,1079.370849
1997.06,1052.517569
1998.06,1072.022258
1999.06,1045.023243
2000.06,949.7702166
2001.06,955.7607693
2002.06,967.0063209
2003.06,981.1040284
2004.06,869.0922715
2005.06,858.0426524
2006.06,817.7735995
2007.06,813.0843805
2008.06,768.4971089
2009.06,666.5994898
2010.06,770.8616044
2011.06,813.6000898
2012.06,769.2202578
2013.06,852.743787
2014.06,783.6321432
2015.06,827.0028204
2016.06,823.0113002
2017.06,858.3789614
2018.06,872.9259109
2019.06,819.0089525
1971.06,135.1632358
1972.06,138.8663382
1973.06,126.2526458
1974.06,114.564729
1975.06,127.0626994
1976.06,140.0235576
1977.06,160.7377864
1978.06,168.1439911
1979.06,212.1183315
1980.06,353.9934404
1981.06,438.7019066
1982.06,462.8877939
1983.06,501.5389247
1984.06,569.3519865
1985.06,542.1573286
1986.06,576.6424692
1987.06,642.6039799
1988.06,648.6215212
1989.06,821.5101122
1990.06,712.5550047
1991.06,788.5553943
1992.06,945.6913351
1993.06,872.9774488
1994.06,975.8860845
1995.06,949.7994643
1996.06,1034.837738
1997.06,977.5293361
1998.06,977.0289597
1999.06,970.1688361
2000.06,874.3798776
2001.06,869.168275
2002.06,936.0637791
2003.06,928.9169611
2004.06,950.9443484
2005.06,918.9186253
2006.06,897.9826249
2007.06,923.5999326
2008.06,885.8261447
2009.06,800.9939592
2010.06,895.1999447
2011.06,918.4347042
2012.06,876.7490601
2013.06,929.1092323
2014.06,854.2771912
2015.06,847.9714772
2016.06,898.722471
2017.06,917.3213082
2018.06,908.4020898
2019.06,905.3552339
1982.06,503.7925261
1983.06,533.1384407
1984.06,582.3841601
1985.06,619.9167033
1986.06,594.3492326
1987.06,607.3218902
1988.06,577.0943386
1989.06,507.57097
1990.06,567.436384
1991.06,565.787597
1992.06,538.392367
1993.06,374.655136
1994.06,499.9629472
1995.06,546.636302
1996.06,477.8945675
1997.06,701.8759385
1998.06,642.0357193
1999.06,673.546878
2000.06,657.1133732
2001.06,711.5390057
2002.06,898.4466959
2003.06,1044.425218
2004.06,1120.740646
2005.06,821.3306694
2006.06,946.6864933
2007.06,1215.093891
2008.06,952.1619096
2009.06,1203.647568
2010.06,1407.064706
2011.06,1300.877678
2012.06,1285.564982
2013.06,1544.449333
2014.06,1339.23551
2015.06,1484.888337
2016.06,1562.236126
2017.06,1544.017558
2018.06,1447.785319
2019.06,1347.664641
1982.06,188.3847949
1983.06,186.5009469
