Input1,Input2,Output
1,18,146.3
1.1,2.6,21.3
1.2,3.1,25.6
1.3,7.4,59.9
1.4,1.7,14
1.5,3.1,25.5
2,6,48.5
2.1,3.7,30.4
2.2,2.2,18.1
3,3.4,27.8
3.1,2.7,21.6
3.2,0.8,6.2
4,19.9,161.6
4.1,9.4,76.6
4.3,1.8,14.3
4.4,3.5,28.7
4.5,5.2,42
5,4.7,37.8
5.1,1.5,12.2
5.2,0.4,3.1
5.3,1.2,9.8
5.4,0.2,1.8
5.5,0.5,3.9
5.6,0.9,7.1
6,4.1,33
6.1,1,8.2
6.2,2.7,22.1
6.3,0.3,2.8
7,13.6,110.6
7.1,2.1,17.2
7.2,9,73.3
7.3,2.5,20.1
8,3.5,28.5
8.1,0.2,1.3
8.2,0.2,1.4
8.3,3.2,25.8
9,8.4,67.9
9.1,1.5,12.2
9.2,0.2,1.8
9.3,1.9,15.5
9.4,2.3,18.3
9.5,1.3,10.8
9.6,0.5,3.8
10,1.2,9.5
10.1,0.2,1.4
10.2,0.4,3.4
10.3,0.6,4.5
10.4,0,0.2
11,9.7,78.8
11.1,2.2,18.1
11.3,0.4,3
11.4,4.2,33.8
11.5,0.5,4.3
11.6,2.4,19.6
13,7.7,62.6
13.1,7.7,62.6
04.1.01,9.4,76.6
04.4.03,3.1,25.2
04.5.01,4.5,36.9
07.2.02,5.5,44.7
1,18.2,88.1
1.1,2.5,12.1
1.2,3.9,18.8
1.3,8.2,39.5
1.4,1.7,8.2
1.5,1.9,9.4
2,6.7,32.4
2.1,2.5,12.3
2.2,4.1,20.1
3,1.8,8.8
3.1,1.4,6.7
3.2,0.4,2.2
4,33.3,161.2
4.1,22.7,109.8
4.3,1.1,5.3
4.4,2.9,14.2
4.5,6.6,31.9
5,3.1,15
5.1,1.1,5.1
5.2,0.2,0.8
5.3,0.7,3.5
5.4,0.2,1
5.5,0.2,1
5.6,0.7,3.5
6,2.7,12.9
6.1,0.7,3.6
6.2,1.8,8.5
6.3,0.2,0.9
7,10,48.5
7.1,1.1,5.4
7.2,8.1,39.1
7.3,0.8,4
8,3.5,17.2
8.1,0.1,0.5
8.2,0.3,1.5
8.3,3.1,15.2
9,5.7,27.6
9.1,1.4,6.7
9.2,0,0
9.3,1.2,5.8
9.4,1.8,8.6
9.5,1,4.9
9.6,0.2,1
10,1.3,6.3
10.1,0.1,0.4
10.2,0.5,2.5
10.3,0.6,3
10.4,0.1,0.3
11,8.4,40.8
11.1,1.8,8.6
11.3,0.2,0.9
11.4,2.6,12.8
11.5,0.7,3.3
11.6,3.2,15.3
13,5.3,25.9
13.1,5.3,25.9
04.1.01,22.7,109.8
04.4.03,2.6,12.4
04.5.01,5.7,27.7
07.2.02,5.1,24.7
1,19.3,78.2
1.1,3.1,12.5
1.2,3.7,15.2
1.3,8.7,35.3
1.4,1.6,6.6
1.5,2.1,8.5
2,5.4,22
2.1,2.7,11
2.2,2.7,11
3,2.5,10.3
3.1,2,8.1
3.2,0.6,2.2
4,27.6,112.1
4.1,13.5,54.9
4.3,1.8,7.4
4.4,4.7,19
4.5,7.6,30.8
5,4.1,16.4
5.1,1.3,5.2
5.2,0.3,1.3
5.3,0.8,3.2
5.4,0.2,0.7
5.5,0.5,2.2
5.6,0.9,3.7
6,3.6,14.5
6.1,1.3,5.2
6.2,2.2,8.9
6.3,0.1,0.5
7,11.1,44.9
7.1,0.9,3.6
7.2,8.8,35.7
7.3,1.4,5.6
8,4.5,18.3
8.1,0.2,0.6
8.2,0.1,0.3
8.3,4.3,17.3
9,7.6,30.9
9.1,1.2,4.7
9.2,0.4,1.5
9.3,2.1,8.4
9.4,1.9,7.8
9.5,1.4,5.9
9.6,0.3,1.2
10,0.9,3.6
10.1,0,0.1
10.2,0.1,0.4
10.3,0.7,2.9
10.4,0,0.1
11,9.5,38.5
11.1,1.9,7.5
11.3,0.2,0.7
11.4,3.4,13.9
11.5,0.5,1.9
11.6,3.5,14.4
13,3.9,15.9
13.1,3.9,15.9
04.1.01,13.5,54.9
04.4.03,4.2,17.2
04.5.01,6.7,27
07.2.02,5.2,21.2
1,19.3,110.7
1.1,2.8,16.2
1.2,3.4,19.3
1.3,8.6,49.4
1.4,2,11.5
1.5,2.5,14.2
2,5.9,34
2.1,2.9,16.8
2.2,3,17.2
3,3.2,18.2
3.1,2.3,13.4
3.2,0.8,4.8
4,23.9,136.8
4.1,12.4,70.9
4.3,1.6,9.1
4.4,4.1,23.3
4.5,5.9,33.5
5,4.7,26.6
5.1,1.4,7.7
5.2,0.2,1.3
5.3,1.5,8.7
5.4,0.2,1.3
5.5,0.4,2.2
5.6,0.9,5.4
6,4.7,26.7
6.1,1,5.5
6.2,2.9,16.6
6.3,0.8,4.6
7,12.2,69.6
7.1,1.7,9.5
7.2,8.8,50.5
7.3,1.7,9.6
8,3.2,18.2
8.1,0.2,1.1
8.2,0.2,0.9
8.3,2.8,16.1
9,7.3,41.7
9.1,1.2,6.7
9.2,0.1,0.8
9.3,1.9,11
9.4,1.9,10.9
9.5,1.5,8.6
9.6,0.3,1.5
10,1,5.9
10.1,0.1,0.5
10.2,0.6,3.6
10.3,0.3,1.6
10.4,0,0.2
11,10,57.3
11.1,2.3,13.1
11.3,0.3,1.8
11.4,4.3,24.4
11.5,0.4,2.5
11.6,2.7,15.5
13,4.7,26.8
13.1,4.7,26.8
04.1.01,12.4,70.9
04.4.03,3.5,20.2
04.5.01,5.2,30
07.2.02,5.7,32.4
1,18.2,162.8
1.1,2.6,23.2
1.2,3.2,28.8
1.3,7.4,66.5
1.4,1.8,15.6
1.5,3.2,28.6
2,5.9,52.6
2.1,3.9,34.6
2.2,2,18
3,3.4,30.6
3.1,2.8,25.1
3.2,0.6,5.5
4,18,160.6
4.1,9.1,80.9
4.3,1.2,11.1
4.4,3.1,27.8
4.5,4.6,40.8
5,4.6,41.1
5.1,1.5,13.2
5.2,0.4,4
5.3,1.2,10.8
5.4,0.3,2.4
5.5,0.4,3.5
5.6,0.8,7.2
6,3.5,31.2
6.1,0.9,7.8
6.2,2.3,20.5
6.3,0.3,2.9
7,14.5,129.8
7.1,2.2,19.9
7.2,9.8,87.1
7.3,2.6,22.9
8,3.4,30.7
8.1,0.2,1.4
8.2,0.1,0.7
8.3,3.2,28.5
9,8,71.4
9.1,1.5,13.6
9.2,0.2,2
9.3,1.7,15
9.4,2.4,21.3
9.5,1.2,10.8
9.6,0.4,3.3
10,1.5,13.2
10.1,0.3,2.8
10.2,0.7,6.1
10.3,0.5,4
10.4,0,0.3
11,9.2,82.1
11.1,2.3,20.3
11.3,0.3,2.8
11.4,4,35.6
11.5,0.6,5.4
11.6,2,18
13,9.7,86.9
13.1,9.7,86.9
04.1.01,9.1,80.9
04.4.03,2.7,24.3
04.5.01,4,35.9
07.2.02,6.3,56
1,17.1,173.6
1.1,2.4,24.1
1.2,2.9,29.4
1.3,6.5,66.1
1.4,1.7,16.9
1.5,3.7,37.2
2,6.3,63.6
2.1,4.3,43.8
2.2,2,19.8
3,3.7,37.8
3.1,2.9,29.2
3.2,0.9,8.6
4,16.3,165.2
4.1,7.5,75.6
4.3,2,20.5
4.4,2.9,28.9
4.5,4,40.2
5,4.5,45.3
5.1,1.5,15
5.2,0.6,5.7
5.3,1,9.7
5.4,0.1,1.2
5.5,0.5,5.2
5.6,0.8,8.5
6,4,40.2
6.1,0.9,9.1
6.2,2.8,28.7
6.3,0.2,2.4
7,15.3,155.3
7.1,2.8,28.3
7.2,9.5,96.5
7.3,3,30.5
8,3.4,34.1
8.1,0.1,1.4
8.2,0.3,3
8.3,2.9,29.7
9,8.3,84.3
9.1,1.8,18.2
9.2,0.2,2
9.3,1.6,16
9.4,2.3,23.5
9.5,1.2,11.9
9.6,0.5,4.7
10,1.1,11.5
10.1,0.3,3
