Input1,Input2,Input3,Output
6855,1578,37385,1972.03
7872,1964,41523,1973.03
9201,2289,44617,1974.03
10110,2814,48454,1975.03
11388,3439,49358,1976.03
13964,3757,52208,1977.03
15643,3817,54955,1978.03
17730,4177,56384,1979.03
20696,4426,59134,1980.03
24086,5218,65744,1981.03
29328,7245,63022,1982.03
33178,8537,65094,1983.03
36989,9557,69195,1984.03
41785,11014,71618,1985.03
48249,13196,71266,1986.03
57953,13963,79809,1987.03
65228,15175,80836,1988.03
70137,14906,83854,1989.03
74212,16055,90212,1990.03
76127,15738,97746,1991.03
75967,13416,101061,1992.03
78335,13998,1940,1993.03
84575,16519,1689,1994.03
90600,19293,1509,1995.03
96236,21581,1522,1996.03
101101,22591,1924,1997.03
104815,23216,2191,1998.03
106826,21962,2176,1999.03
113229,24769,2549,2000.03
119839,24987,2444,2001.03
128712,27656,2919,2002.03
135181,29655,2750,2003.03
144502,33607,2905,2004.03
154559,37431,3259,2005.03
162937,40320,3529,2006.03
172112,41132,3393,2007.03
186852,44639,3997,2008.03
189632,42952,4342,2009.03
194282,39037,4231,2010.03
203483,39992,3839,2011.03
213302,42326,4240,2012.03
217540,44712,973,2013.03
232719,49365,981,2014.03
242198,54111,962,2015.03
254484,58219,1107,2016.03
270388,61302,1230,2017.03
289104,66826,1444,2018.03
303436,70959,1298,2019.03
6788,503,1685,1972.03
7763,591,1673,1973.03
9072,700,1754,1974.03
9971,896,1880,1975.03
11133,1260,1785,1976.03
13534,1540,1935,1977.03
15218,1842,1889,1978.03
17179,2067,2071,1979.03
20233,2393,2217,1980.03
23571,2675,2674,1981.03
28660,3174,2339,1982.03
32264,3666,2560,1983.03
35577,3923,2753,1984.03
39716,4464,23194,1985.03
45567,5332,26469,1986.03
55278,6172,28669,1987.03
61939,6635,31409,1988.03
67281,7121,33700,1989.03
71197,7760,35157,1990.03
73173,8530,38002,1991.03
71077,9155,39218,1992.03
73449,9515,40950,1993.03
78854,9950,45326,1994.03
84760,10391,43628,1995.03
90423,11010,43938,1996.03
94422,11628,46366,1997.03
99084,11956,46221,1998.03
102231,12414,48800,1999.03
106881,12744,55327,2000.03
113511,13844,56514,2001.03
122424,14611,59298,2002.03
128497,14911,63453,2003.03
137894,15613,69450,2004.03
146173,16680,11314,2005.03
152560,17870,12408,2006.03
161160,19435,13475,2007.03
174228,20470,14402,2008.03
176649,22356,12483,2009.03
186938,23317,13380,2010.03
193199,23112,13465,2011.03
203302,23128,12919,2012.03
208079,23493,14051,2013.03
223099,24214,15732,2014.03
231983,25218,14888,2015.03
245630,27129,16402,2016.03
261363,28742,17526,2017.03
277741,30216,19532,2018.03
292574,32329,16578,2019.03
752,197,18052,1972.03
917,214,17115,1973.03
1200,236,17649,1974.03
784,275,20017,1975.03
211,384,20951,1976.03
864,453,-37,1977.03
663,556,-24,1978.03
521,633,4,1979.03
849,771,14,1980.03
671,882,20,1981.03
1582,1064,37,1982.03
1328,1261,14,1983.03
2167,1337,13,1984.03
2102,1520,16,1985.03
1188,1779,13,1986.03
3360,2083,-123,1987.03
3537,2222,63,1988.03
4353,2129,109,1989.03
3899,2105,448,1990.03
1993,2045,425,1991.03
-575,1915,217,1992.03
-21,2002,190,1993.03
2796,1950,338,1994.03
4245,1981,344,1995.03
4938,2034,352,1996.03
3804,2094,1611,1997.03
4806,2184,1978,1998.03
3394,2392,2388,1999.03
4396,2479,2839,2000.03
6067,2721,3172,2001.03
9396,2852,3688,2002.03
9250,2909,3971,2003.03
11118,2934,3683,2004.03
10042,3177,3294,2005.03
6021,3443,3136,2006.03
4492,3830,4049,2007.03
7789,3991,5828,2008.03
992,4433,4955,2009.03
5391,4742,5641,2010.03
5271,4854,5630,2011.03
6594,5065,6381,2012.03
6532,5299,6915,2013.03
13370,5412,7768,2014.03
13861,5677,8242,2015.03
16805,6146,9562,2016.03
18213,6326,9691,2017.03
20968,6562,298,2018.03
21238,6899,361,2019.03
6990,77,456,1972.03
8080,83,553,1973.03
9361,92,387,1974.03
10203,107,443,1975.03
11506,136,334,1976.03
13972,162,369,1977.03
15667,188,357,1978.03
17810,210,355,1979.03
20546,249,404,1980.03
23988,280,145,1981.03
29028,334,167,1982.03
33426,382,183,1983.03
37253,394,187,1984.03
42244,433,182,1985.03
48779,500,180,1986.03
57953,553,226,1987.03
65167,601,269,1988.03
70628,635,208,1989.03
74635,678,220,1990.03
76167,719,255,1991.03
75986,724,268,1992.03
78309,733,263,1993.03
84460,738,194,1994.03
90337,749,292,1995.03
96236,770,308,1996.03
101101,794,317,1997.03
104815,817,265,1998.03
106826,867,267,1999.03
113229,905,300,2000.03
119839,1009,236,2001.03
128712,1064,321,2002.03
135181,1100,221,2003.03
144502,1144,278,2004.03
154559,1234,366,2005.03
162937,1348,454,2006.03
172112,1493,274,2007.03
186852,1601,312,2008.03
189632,1761,228,2009.03
194282,1903,241,2010.03
203482,2002,232,2011.03
213301,2109,238,2012.03
217540,2228,247,2013.03
232719,2342,4,2014.03
242198,2488,-5,2015.03
254484,2639,0,2016.03
270388,2827,6,2017.03
289104,3031,12,2018.03
300994,3175,10,2019.03
6855,777,11,1972.03
7872,889,15,1973.03
9201,1028,14,1974.03
10110,1278,17,1975.03
11388,1780,17,1976.03
13964,2154,18,1977.03
15643,2587,-3,1978.03
17730,2911,-11,1979.03
20696,3413,4,1980.03
24086,3837,6,1981.03
29328,4572,34,1982.03
33178,5309,12,1983.03
36989,5654,32,1984.03
41785,6417,35,1985.03
48249,7611,2,1986.03
57953,8808,51,1987.03
65228,9458,77,1988.03
70137,9884,83,1989.03
74212,10543,90,1990.03
76127,11294,99,1991.03
75967,11794,113,1992.03
78335,12250,131,1993.03
84575,12637,106,1994.03
90600,13121,128,1995.03
96236,13815,125,1996.03
101101,14516,117,1997.03
104815,14958,157,1998.03
106826,15673,141,1999.03
113229,16129,172,2000.03
119839,17574,183,2001.03
128712,18527,181,2002.03
135181,18920,170,2003.03
144502,19691,170,2004.03
154559,21091,214,2005.03
162937,22661,254,2006.03
172112,24758,194,2007.03
186852,26062,203,2008.03
189632,28551,238,2009.03
194282,29962,250,2010.03
203483,29968,266,2011.03
213302,30302,204,2012.03
217540,31020,288,2013.03
232719,31967,302,2014.03
242198,33383,284,2015.03
254484,35914,253,2016.03
270388,37895,235,2017.03
289104,39809,265,2018.03
303436,42403,233,2019.03
6935,1038,269,1972.03
7840,1289,3015,1973.03
9347,1574,3502,1974.03
11447,1832,4309,1975.03
12294,2066,4670,1976.03
14332,2396,5303,1977.03
15918,2221,5533,1978.03
17678,2453,5339,1979.03
20867,2822,5405,1980.03
24249,3381,5597,1981.03
29916,4760,6282,1982.03
34412,5289,6752,1983.03
37688,5934,7116,1984.03
43322,7697,7217,1985.03
49810,8720,7238,1986.03
57661,9477,7283,1987.03
63706,11012,7408,1988.03
67835,10705,7857,1989.03
74099,11828,8405,1990.03
75470,11343,8985,1991.03
73185,9917,9570,1992.03
75842,10954,10040,1993.03
81371,13660,10652,1994.03
87853,16072,10565,1995.03
94433,17891,9717,1996.03
99502,18387,10740,1997.03
103354,17964,11279,1998.03
105396,16718,11726,1999.03
112662,19025,12207,2000.03
116275,20239,12682,2001.03
124042,20592,13076,2002.03
131075,22124,13779,2003.03
141952,25627,14585,2004.03
154116,28848,15461,2005.03
165298,30030,1070,2006.03
172776,31497,1176,2007.03
186626,34459,1286,2008.03
190108,31215,1390,2009.03
189770,26298,1483,2010.03
198814,26904,1565,2011.03
210001,29454,1647,2012.03
216027,32794,1714,2013.03
228971,36015,1759,2014.03
240110,40064,1838,2015.03
251858,43450,1925,2016.03
268032,46413,2032,2017.03
285876,50695,2255,2018.03
