Input1,Input2,Input3,Input4,Output
21516.67,25243.55,45,11.96,25564.67
3175.971,5852.565,21,1.2,13496.08
23039.02,25130.76,38,31.275,25564.67
24994.37,25243.55,48,9,25564.67
1669.295,10727.61,18,0,9860.869
16365.76,18449.27,22,15.69,25564.67
16804.63,16354.6,48,26,18059.3
1144.212,3620.032,18,0.338,15739.27
25862.32,25243.55,48,10,25564.67
25862.32,0,45,30,3924.842
25862.32,23746.84,34,18,25564.67
1026.656,1224.581,16,22,6847.785
25862.32,25243.55,53,19.5,25564.67
867.9552,4386.29,19,42,8777.696
25862.32,19047.24,27,32,19214.88
20427.32,23374.45,32,25,9179.637
20983.75,14822.08,27,42,25564.67
19171.43,1317.677,46,16,0
20830.92,25243.55,24,0,23903.71
11036.55,10351.65,22,36,6556.673
391.8534,0,49,0,0
0,0,17,28,4755.324
21499.03,22586.71,29,20,20923.13
16500.95,0,28,0,10267.24
24814.11,24967.84,46,2.9,19339.01
0,0,26,50,4753.846
25862.32,25243.55,49,0.006,25564.67
25862.32,25243.55,51,0,25564.67
22923.42,21725.56,51,25.464,10348.52
17022.11,18123.44,27,0,18490.79
19098.93,21014.81,23,9,0
7952.664,9755.468,27,32,13105.96
25862.32,25243.55,38,38.5,25564.67
7186.591,6149.758,32,28,8414.175
25862.32,25243.55,34,15.875,25564.67
20971.99,21883.11,26,17.5,25564.67
8638.407,8176.403,21,47,6753.21
13499.35,16383.24,39,30,16461.87
0,451.1613,17,26,0
17466.86,17779.69,22,0,14438.87
0,0,21,3.44,0
15390.04,14886.53,44,27,12634.56
17125.95,17446.69,26,0,13518.24
13350.44,13180.35,54,35.007,13741.38
21663.61,22013.81,42,20,19941.92
8105.487,11869.84,25,21.616,6170.986
317.4012,214.8387,20,0,0
25862.32,25243.55,44,0,25564.67
25862.32,25243.55,33,0,25564.67
25862.32,14494.45,40,30,25564.67
21048.4,22916.13,25,16.5,23574.17
12694.09,13046.08,33,9.36,11264.71
19827.78,19668.48,52,56,18437.59
24686.76,25243.55,54,75,25564.67
19200.81,19303.26,27,38,18207.07
7488.318,7888.161,51,45,6148.82
6502.807,15241.02,42,38,15468.84
25862.32,25243.55,50,40,25564.67
15282.28,13964.52,47,28,9043.687
24224.37,11019.44,28,52,20055.71
25862.32,25243.55,33,51,25564.67
21146.37,18732.15,33,25,22254.56
25862.32,24627.68,55,6,25564.67
25862.32,25243.55,38,0,25564.67
25862.32,25243.55,39,35,25564.67
25862.32,25243.55,27,32,25564.67
378.1385,467.2742,16,10.582,4306.095
6645.833,3331.79,35,0,0
22421.85,21093.58,35,0,23590.43
25862.32,25243.55,45,0,0
18270.16,21637.84,51,30,20267.02
11316.73,1761.677,27,19.5,5532.608
0,0,28,16,18719.84
25862.32,25243.55,35,15.8,25564.67
18534.66,0,39,24,21496.49
25862.32,25243.55,33,47,25564.67
25862.32,25241.76,52,2.5,12429.16
5023.56,6819.339,22,40,13943.83
20070.73,11117.9,25,58,19003.56
25013.96,22710.24,28,0,0
16888.88,16200.63,27,21.8,17295.31
8362.151,7990.21,30,10.78,8590.025
9672.9,8085.097,28,2,14348.73
19083.26,18270.24,24,0,22261.95
14743.48,14954.56,29,5,13714.78
16444.13,16028.76,49,0,15965.36
13352.4,14358.39,22,0,17051.49
25862.32,25243.55,30,5,25564.67
24185.19,25243.55,45,0,0
24669.13,24418.21,44,40,25564.67
11465.63,1953.242,21,11,25564.67
11661.56,4142.806,26,7.483,18650.39
18822.68,20112.48,25,33.648,20986.67
16883,15316.21,45,58,17010.11
3311.161,10525.31,19,10.172,1693.475
12609.84,12349.65,55,0,12201.59
12423.71,13035.34,22,0,17482.98
0,16735.94,37,0,25564.67
25862.32,25243.55,38,0,25298.68
17962.56,11590.55,29,37,2639.22
21044.48,25243.55,43,0,1301.877
25862.32,19817.08,51,40,4.43318
11769.32,11624.56,25,40.808,13903.93
20776.07,20808.92,52,25,10394.33
22886.2,24523.84,26,0,25564.67
25862.32,25243.55,37,30,25564.67
25862.32,25243.55,36,40,25564.67
6395.047,18513.73,27,60,21258.57
20817.21,25243.55,21,53,25564.67
22686.35,0,44,22,19081.88
25862.32,25243.55,49,31,25564.67
4559.214,3976.306,32,37,7246.771
16593.03,17622.15,23,50,22872.25
18636.55,18214.74,46,47,20485.72
0,1536.097,17,30.4,19808.92
19067.58,24849.68,26,18,22545.67
19637.73,8178.194,27,22,25564.67
23871.71,25243.55,30,2.6,25564.67
23826.64,24942.77,23,0,25523.29
13540.49,21766.74,22,54,25564.67
23127.19,23580.34,30,22,25564.67
20145.18,15941.03,32,44.44,25564.67
15576.17,24706.45,27,0,25564.67
4729.67,3328.21,18,23.12,12602.05
0,0,33,0,25564.67
5325.287,1061.661,22,28,0
2358.957,0,23,67,3270.209
19030.36,17532.63,51,10,0
2470.635,5116.742,21,2.7,10890.84
9065.527,9338.323,18,0,7972.335
0,0,53,34.875,0
4055.682,1867.306,21,28.2,0
22525.69,22712.03,32,38.715,25564.67
