Input1,Input2,Input3,Input4,Input5,Input6,Output
52,12,2.730363,3.7612,11.96,13,192
74,9,2.737248,2.944439,1.2,24,167
35,10,2.266935,2.56495,31.275,43,76
50,12,2.392753,3.637586,9,17,123
41,12,3.105335,3.295837,0,44.5,148
19,12,3.760884,3.367296,15.69,32,20
19,12,3.155609,3.663562,26,14,40
59,12,3.724682,2.197225,0.338,1,57
49,16,2.861691,3.7612,10,4,49
21,12,2.615077,4.234107,30,7,170
44,12,2.653243,2.772589,18,23,40
81,17,2.139857,3.663562,22,9,127
46,18,2.625683,3.555348,19.5,31,106
52,18,2.767746,1.94591,42,20,168
53,7,2.871242,2.302585,32,35,185
24,12,1.983811,3.135494,25,20,41
43,14,1.260201,3.091043,42,33,106
25,16,2.298178,3.401197,16,9,141
35,12,2.132508,3.332205,0,21,61
43,15,2.000231,3.258096,36,16,159
73,10,2.018375,3.218876,0,45,121
58,14,1.886142,2.639057,28,47,56
51,14,2.953125,1.098612,20,35,34
57,16,2.378481,3.526361,0,46,127
44,19,1.574376,3.555348,2.9,47,135
76,16,2.495514,3.637586,50,13,147
33,16,2.318077,3.7612,0.006,47,94
39,12,2.029045,4.248495,0,31,125
19,12,1.788754,3.610918,25.464,31,79
40,11,2.091107,2.079442,0,19,143
25,12,2.179881,3.555348,9,5,82
73,5,3.724682,3.526361,32,6,57
63,9,2.69706,3.637586,38.5,16,132
22,14,2.236011,3.583519,28,13,173
20,13,2.897865,3.258096,15.875,29,150
74,3,2.088778,2.484907,17.5,7,149
31,15,2.035159,0.6931472,47,24,176
35,13,2.070141,3.433987,30,11,76
26,12,2.037905,3.496508,26,23,134
50,12,1.842809,2.079442,0,14,142
44,19,1.948355,3.135494,3.44,10,68
52,12,2.613621,2.639057,27,23,165
39,12,2.361342,1.609438,0,24,34
30,12,2.731745,1.386294,35.007,31,152
35,12,2.426072,4.356709,20,19,91
27,14,2.613136,3.7612,21.616,29,139
30,12,2.301331,2.197225,0,23,121
57,12,3.640861,1.386294,0,46,8
59,8,2.149818,3.555348,0,17,191
71,8,2.644261,2.302585,30,9,75
81,12,2.274618,1.386294,16.5,16,71
72,10,2.858341,0,9.36,6,123
66,8,2.901806,2.56495,56,15,191
48,12,2.372347,3.828641,75,28,172
38,12,3.9635,3.433987,38,21,142
56,20,2.570568,2.70805,45,31,6
30,14,2.482975,3.135494,38,18,65
22,11,3.17471,1.94591,40,39,163
22,12,2.682774,3.850147,28,19,65
22,11,2.261109,2.197225,52,20,121
21,14,2.128757,3.401197,51,20,184
56,14,3.242764,1.94591,25,17,2
31,19,2.085726,1.386294,6,22,78
44,12,1.63274,3.367296,0,38,135
57,12,2.396504,3.951244,35,12,113
63,4,2.431583,3.367296,32,16,35
23,12,2.699853,3.688879,10.582,24,40
18,11,2.926587,2.890372,0,35,10
21,12,2.703328,3.555348,0,45,61
26,12,2.243415,3.988984,0,5,54
23,11,3.519207,3.78419,30,10,171
20,13,1.780003,2.890372,19.5,21,92
44,7,2.967651,2.197225,16,26,189
53,12,2.255147,1.791759,15.8,42,134
55,12,2.429368,3.401197,24,25,53
25,16,2.71717,1.098612,47,17,25
73,7,2.240332,0,2.5,28,150
45,12,2.211025,4.077538,40,28,134
28,12,2.765051,2.772589,58,41,165
45,16,2.770082,4.060443,0,36,111
44,20,1.68572,3.850147,21.8,26.5,79
42,15,2.612082,3.218876,10.78,40,63
