Input1,Input2,Input3,Input4,Input5,Input6,Input7,Output
Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Price/Sales,Price/Book,Price
24.31,2.3328617,7.92,259.77,175.49,4.3902707,11.34,222.89
27.76,1.1479592,1.7,68.39,48.925,3.5754826,6.35,60.24
22.51,1.9089824,0.26,64.6,42.28,3.7404804,3.19,56.27
19.41,2.4995599,3.29,125.86,60.05,6.291571,26.14,108.48
25.47,1.7144699,5.44,162.6,114.82,2.604117,10.62,150.51
31.8,0.43190324,1.28,74.945,38.93,10.59512,5.16,65.83
18.22,0.35118526,7.43,225.36,142,1.7953473,3.55,145.41
52.31,0,3.39,204.45,114.451,13.092818,11.06,185.16
19.54,0.21832074,6.19,169.55,78.81,1.1301061,2.51,109.63
187,0,0.03,15.65,9.7,2.1091955,21.47,11.22
9.96,4.961832,-1.72,12.05,10,0.65951383,2.2,10.06
18.11,1.101989,5.75,194.4,119.51,0.9923546,3.79,178
12.24,0.6387395,12.07,216.995,148.81,4.591235,2.89,179.11
12.24,2.4299066,11.01,91.73,68.8,1.5429344,1.53,83.25
27.45,0.8756979,2.1,75,49.23,6.493563,4.56,65.05
24.22,2.7811136,13.66,175.17,133.6301,4.1163683,3.35,152.8
32.55,0,1.79,69.56,44.65,5.8546524,3.25,62.49
9.66,1.9928383,8.28,101.43,59.25,0.9801092,2.21,64.04
26.03,1.2004126,5.66,144.99,90.35,5.3666205,2.98,105.18
19.03,3.0262272,1.57,134.37,106.89,10.492155,2.07,114.58
22.18,0,1.77,149.34,96.18,9.720562,2.82,108.47
56.59,0,2.84,287.32,92.61,13.138819,16.44,220.71
21.07,0.8004002,2.37,89.81,66.72,4.265232,20.48,77.32
10.65,1.643289,38.35,256.8,160.07,4.820115,0.83,164.2
13.02,0.9240122,14.13,278.33,209,1.7282298,8.28,240.6
19.86,3.5733333,1.65,45.55,36.84,3.4331481,2.13,37.14
13.26,1.5278208,4.68,105.36,77.73,1.2085556,1.67,90.06
31.48,0,22.27,1198,824.3,6.801692,4.7,1007.71
40.29,0,22.27,1186.89,803.1903,6.772653,4.67,1001.52
18.89,3.9526875,5.31,77.79,60.01,4.945682,10.32,64.05
296.16,0,6.16,1498,812.5,3.927053,24.28,1350.5
20.38,3.4404964,2.68,64.89,51.81,2.693119,1.79,52.59
9.92,0.7782101,3.91,59.08,39.21,0.58022565,6.03,48.6
17.32,3.8479443,1.24,78.07,62.69,2.7489934,1.81,63.38
15,1.4955667,2.9,102.385,75.51,2.273575,3.75,88.34
23.22,2.1167521,-0.76,67.3,57.85,1.4686536,0.75,58.28
20.68,2,1.97,155.28,103.36,11.954137,9.22,133.57
26.23,2.129297,2.63,92.37,71.89,5.553833,2.55,76.06
12.41,2.0735743,9.44,183.9,118.84,1.9493247,3.73,152.5
15.54,1.6132456,1.64,106.27,71.9,0.17396984,9.73,91.55
27.61,0.75512403,2.94,78.51,51.31,4.015368,4.54,72.05
13.76,2.9751508,2.57,201.23,152.16,5.58192,3.91,173.12
25.9,0.8608971,2.05,93.62,67.26,3.85675,6.64,84.44
-21.29,1.7029973,-5.9,70,39.96,3.9682212,2.88,56.2
17.67,2.108963,2.11,98.38,74.65,8.00391,3.13,82.68
18.78,2.3454583,6.13,121.71,75.11,0.6618165,1.7,96.9
42.53,0,2.99,164.9,94.52,16.8134,5.79,148.84
19.23,1.2581781,14.36,267.95,156.81,0.6696521,2.28,230.57
20.8,1.0245464,4.66,152.78,113.2201,3.4972682,6.78,136.05
-251.53,2.528445,-3.72,57.9,38.14,3.651366,2.22,37.73
15.6,3.876562,1.95,46.855,38.85,6.187621,4.69,38.21
16.86,1.5795412,9.2,180.1,131.12,3.4586093,5.66,155.15
14.08,0.8215239,3.17,60.89,34.58,4.7020154,5.44,45.75
69.74,0.9392678,5.05,96.91,82.97,1.5025798,7.56,89.27
17.45,3.1761081,2.17,47.44,38.59,0.52478915,1.29,41.35
20.21,0.9561753,-0.21,31.17,21.755,0.94214815,,24.45
21.05,2.4807138,2.54,70.55,53.63,1.9400215,2.92,64.4
33.27,2.5313594,9.08,106.985,85.91,0.9821866,1.12,85.16
12.14,5.4156513,4.76,42.7,32.55,1.4083152,1.8,35.57
-77.07,0,-2.61,131.1,81.75,16.50682,224.13,104.81
29.34,2.2190912,3.85,125.24,95.5,4.0483294,12.86,108.25
16.31,0,44.09,797.89,491.13,1.8510429,136.23,718.57
17.97,3.7149355,6.36,199.52,156.01,10.251216,2.12,154.94
22.11,1.5682175,3.11,123.67,78.471,1.5206499,8.83,110.77
305.56,2.4991322,-0.31,57.73,28.03,1.9390045,2.25,27.5
20.56,1.0170354,0.85,43.24,35.6,1.5696399,3.62,38.44
16.34,1.536,1.55,32.67,22.07,3.2011874,1.24,29.74
25.12,0.97635394,1.29,72.58,48.15,3.4394414,3.77,62.56
16.26,2.4526198,2.74,55.99,41.17,3.4552107,1.55,51.07
22.28,1.3518385,4.65,248.3888,175.66,5.6912947,3.98,211.44
30.43,0,9.76,217.62,160.93,1.4328232,1.58,191.42
19.22,1.9085041,3.81,78.59,41.67,0.76715523,4.79,68.79
14.3,0,11.94,370.57,244.28,5.737439,5.51,311.79
22.49,2.1643558,30.3,594.52,368,6.9158196,2.95,509.38
12.29,3.7296038,1.92,31.8,19.85,2.0188456,205.41,25.19
27.29,1.9648397,13.47,361.45,163.69,2.1560605,182.86,329.66
14.15,1.2363636,0.55,58.22,37.54,1.5831376,2.89,51.94
18.05,2.7744062,2.93,140.13,111.87,6.839459,3.15,112.09
20,0,0.07,29.93,23.29,4.055685,4.78,25.2
22.63,0,-24.62,75,52.751,1.4188358,0.51,55.44
20.83,2.5546863,2.65,66.1,51.12,6.503231,6.75,62.69
15.94,2.9488583,4.01,285.68,202.61,6.961893,4.4,229.57
37.04,1.1216964,1.7,69.9028,45.415,1.8411398,12.36,63.33
26,1.987685,3.57,100.18,63.41,0.85282737,9.31,90.47
14.32,3,1.85,36.56,30.45,3.3742425,2.44,32.66
60.55,1.0269576,-0.92,29.57,21.4,8.636729,4.21,23.01
34.09,0,0.74,46,29.01,5.751737,10.98,36.82
14.84,3.125,2.89,64.23,43.5,2.3898203,7.91,44.83
11.85,1.6306564,3.45,106.5,76.05,1.5931405,0.94,91.8
12.29,2.8394227,4.04,84.88,54.66,0.21131156,3.03,66.63
19.44,0,3.97,77.64,54.29,0.6913859,3.55,64.34
17.48,2.6041667,3.58,72.7,54.75,2.8147783,2,66.76
21.22,2.0215108,1.26,173.24,90.34,2.0468428,5.75,145.99
